country,industry,year,EG_total,EC_total,EC_c,EC_d,FU_c,FU_d,FU_total,EC_c_alt,EC_d_alt,ln_eg,ln_ecc,ln_ecd,ln_egecd,ln_eccd,ln_eccd_2,ln_ecc_alt,ln_ecd_alt
1,15,1995,162405,42192,8579,33613,24796,1553914,1578710,11332761600,22142226432,11.997849,9.0570726,10.422668,1.5751801,-1.3655958,.93242598,23.150963,23.820753
1,15,1996,166644,42897,8623,34274,27342,1609914,1637256,11395926016,22577653760,12.023615,9.0621881,10.442142,1.5814724,-1.3799543,.95213699,23.156521,23.840227
1,15,1997,171917,43581,8665,34916,27814,1655529,1683343,11456454656,23000563712,12.054767,9.0670471,10.4607,1.5940666,-1.3936529,.97113425,23.161819,23.858784
1,15,1998,183021,44783,9220,35563,28698,1843898,1872596,12194679808,23426768896,12.117356,9.1291304,10.479061,1.6382952,-1.3499308,.91115654,23.224266,23.877146
1,15,1999,190068,45996,9229,36767,30044,1932650,1962694,12207181824,24219891712,12.155137,9.130106,10.512356,1.6427813,-1.3822498,.9553073,23.22529,23.91044
1,15,2000,195408,46208,9263,36945,29090,1968429,1997519,12249682944,24337147904,12.182845,9.1337833,10.517185,1.6656599,-1.3834019,.95690036,23.228765,23.91527
1,15,2001,206778,47008,9311,37697,32928,2122135,2155063,12142313472,25121417216,12.239401,9.1389513,10.537335,1.7020655,-1.3983841,.97773904,23.219963,23.946987
1,15,2002,213012,49733,9405,40328,35901,2358725,2394626,12534950912,28851490816,12.269104,9.1489964,10.604801,1.6643028,-1.4558048,1.0596838,23.251787,24.085428
1,15,2003,209044,49660,9514,40146,39614,2324316,2363930,12544029696,28742094848,12.2503,9.1605196,10.600278,1.6500225,-1.4397583,1.0364519,23.25251,24.081629
1,15,2004,219796,49786,9702,40084,45374,2371300,2416674,12662242304,27963559936,12.300455,9.1800871,10.598733,1.7017221,-1.4186459,1.006278,23.26189,24.054169
1,15,2005,230631,50546,10086,40460,46552,2492999,2539551,13306652672,29468583936,12.348575,9.2189035,10.608069,1.7405052,-1.3891659,.9648909,23.311529,24.10659
1,15,2006,232111,51216,10174,41042,47158,2547383,2594541,13631740928,30350475264,12.354971,9.2275906,10.622352,1.7326193,-1.3947611,.97267926,23.335667,24.136078
1,15,2007,233826,53190,10651,42539,47777,2461486,2509263,14494429184,33654370304,12.362332,9.2734089,10.658176,1.7041559,-1.3847675,.95879054,23.39703,24.239408
1,15,2008,240177,54627,10853,43774,67363,2466465,2533828,,,12.389132,9.2921972,10.686795,1.7023363,-1.394598,.97245181,,
1,15,2009,241865,56945,11188,45757,65779,2496018,2561797,,,12.396135,9.3225975,10.7311,1.6650352,-1.4085026,.99193978,,
2,15,1995,55001,17440,11306,6134,24544,194051,218595,14908047360,4040710912,10.915107,9.3330889,8.7216024,2.1935043,.61148643,.18695784,23.425167,22.119686
2,15,1996,53180,17521,11379,6142,29764,209622,239386,15002415104,4045980928,10.881437,9.3395252,8.7229061,2.1585312,.61661911,.19010957,23.431477,22.120991
2,15,1997,55124,17861,11554,6307,28531,203816,232347,15229549568,4154672896,10.91734,9.3547869,8.7494154,2.1679249,.60537148,.18323731,23.446503,22.147499
2,15,1998,55900,17456,11474,5982,28939,195902,224841,15122589696,3940582400,10.931319,9.3478394,8.6965103,2.2348089,.65132904,.21211477,23.439455,22.094595
2,15,1999,58550,17847,11687,6160,29718,193585,223303,15401945088,4057838080,10.977636,9.3662319,8.725832,2.2518044,.64039993,.20505604,23.45776,22.123917
2,15,2000,59073,17805,11671,6134,26859,173941,200800,15374969856,4040710912,10.986529,9.3648624,8.7216024,2.2649269,.64326,.20689172,23.456007,22.119686
2,15,2001,60190,18112,11717,6395,28572,188843,217415,15240384512,4261651200,11.005261,9.3687963,8.7632713,2.2419901,.60552502,.18333027,23.447214,22.172922
2,15,2002,59956,17890,11648,6242,31770,183532,215302,15465869312,4465656832,11.001367,9.3628902,8.7390556,2.262311,.62383461,.19458482,23.461901,22.219683
2,15,2003,57441,18188,11905,6283,33819,214529,248348,15581632512,4498246144,10.958513,9.3847141,8.7456026,2.2129107,.63911152,.20423177,23.469358,22.226954
2,15,2004,61383,18735,12199,6536,38685,214588,253273,15807060992,4559670272,11.024888,9.4091091,8.7850809,2.2398071,.62402821,.19470561,23.483723,22.240517
2,15,2005,63546,18914,12458,6456,49126,225811,274937,16358218752,4702154752,11.05952,9.4301186,8.7727652,2.2867546,.6573534,.21605675,23.517996,22.271286
2,15,2006,61788,19150,12645,6505,57500,205012,262512,16853058560,4810434048,11.031465,9.4450169,8.7803268,2.2511377,.66469002,.22090641,23.547798,22.294054
2,15,2007,62738,19100,12820,6280,66753,189878,256631,17286035456,4968368640,11.046722,9.4587622,8.7451248,2.3015976,.71363735,.25463915,23.573164,22.326357
2,15,2008,64161,20555,13308,7247,75040,190030,265070,,,11.069151,9.4961205,8.8883429,2.1808081,.6077776,.18469681,,
2,15,2009,66717,20853,13566,7287,77738,179658,257396,,,11.108215,9.5153217,8.8938475,2.2143679,.62147427,.19311513,,
3,15,1995,70612,14917,7040,7877,19682,292764,312446,11588304896,5188894720,11.164955,8.8593636,8.9717026,2.1932526,-.11233902,.0063100276,23.173262,22.369787
3,15,1996,72315,14852,7101,7751,19056,291175,310231,11693732864,5105893376,11.188787,8.8679905,8.9555769,2.2332096,-.087586403,.003835689,23.18232,22.353661
3,15,1997,75023,14693,7121,7572,19337,280038,299375,11728299008,4987978752,11.22555,8.8708038,8.9322128,2.2933369,-.061408997,.0018855324,23.18527,22.330297
3,15,1998,79436,15404,7132,8272,19218,320775,339993,11746091008,5449096704,11.282707,8.8723469,9.0206318,2.2620754,-.14828491,.010994207,23.186787,22.418716
3,15,1999,80844,15522,7133,8389,20090,293237,313327,11742121984,5526169600,11.300277,8.8724871,9.0346766,2.2656002,-.16218948,.013152714,23.186449,22.43276
3,15,2000,80266,15685,7140,8545,21080,290933,312013,11749751808,5628933120,11.293101,8.8734684,9.0531015,2.2399998,-.17963314,.016134033,23.187098,22.451185
3,15,2001,76216,15533,7185,8348,24307,265895,290202,11912239104,5563137536,11.241326,8.8797512,9.0297775,2.2115488,-.15002632,.011253948,23.200832,22.439428
3,15,2002,78147,15552,7214,8338,23431,272936,296367,12096488448,5965178880,11.266347,8.8837786,9.0285788,2.2377682,-.14480019,.010483547,23.216181,22.509205
3,15,2003,80858,15615,7249,8366,29817,304581,334398,11537720320,5989547008,11.300449,8.8886185,9.0319309,2.2685184,-.14331245,.01026923,23.168888,22.513281
3,15,2004,81730,15648,7283,8365,32700,308129,340829,11620793344,5835624448,11.311176,8.8932981,9.0318117,2.2793646,-.13851357,.0095930034,23.176062,22.487247
3,15,2005,83396,16096,7383,8713,35426,306975,342401,12210503680,6346015232,11.331356,8.9069357,9.0725718,2.2587843,-.16563606,.013717652,23.225563,22.571093
3,15,2006,81977,16260,7453,8807,44807,294814,339621,12493628416,6512758272,11.314194,8.9163723,9.0833025,2.2308912,-.1669302,.013932846,23.248486,22.597029
3,15,2007,85098,16380,7538,8842,51131,294700,345831,14257329152,6995273216,11.351559,8.9277124,9.0872688,2.2642899,-.15955639,.01272912,23.380537,22.668501
3,15,2008,81384,16760,7629,9131,58386,277269,335655,,,11.306934,8.9397125,9.1194305,2.1875038,-.17971802,.016149282,,
3,15,2009,87523,17496,8313,9183,65370,294662,360032,,,11.379657,9.0255756,9.1251097,2.2545471,-.099534035,.004953512,,
6,15,1995,542998,115505,81187,34318,57951,1232127,1290078,113830100992,22606637056,13.204861,11.30451,10.443425,2.7614355,.86108494,.37073365,25.457973,23.841509
6,15,1996,556134,116940,82097,34843,59871,1200940,1260811,115031236608,22952476672,13.228765,11.315657,10.458608,2.7701569,.85704899,.36726648,25.46847,23.856691
6,15,1997,556390,112653,80260,32393,70665,1346022,1416687,111380160512,21338562560,13.229225,11.293027,10.385697,2.8435278,.90732956,.41162348,25.436214,23.783781
6,15,1998,544078,109949,77618,32331,74811,1500728,1575539,106761158656,21297721344,13.206848,11.259555,10.383781,2.8230667,.87577343,.38348955,25.39386,23.781866
6,15,1999,559437,110974,77840,33134,84173,1487136,1571309,107033583616,21826689024,13.234686,11.262411,10.408316,2.8263702,.85409546,.36473954,25.396408,23.806398
6,15,2000,586651,111324,78141,33183,83462,1643647,1727109,107426570240,21858967552,13.282186,11.266271,10.409793,2.8723927,.85647774,.36677706,25.400074,23.807877
6,15,2001,570512,112537,77834,34703,87168,1679941,1767109,106136371200,23126204416,13.25429,11.262334,10.454581,2.7997084,.80775261,.32623214,25.387991,23.864233
6,15,2002,582095,114979,80012,34967,91398,1586812,1678210,111135383552,25016119296,13.274389,11.289932,10.46216,2.8122292,.82777214,.34260336,25.434015,23.942787
6,15,2003,570171,118271,81348,36923,91488,1655972,1747460,110823587840,26434623488,13.253692,11.306492,10.51659,2.7371016,.78990173,.31197238,25.431206,23.99794
6,15,2004,580896,120459,84140,36319,89197,1576849,1666046,114556157952,25337006080,13.272327,11.340238,10.500096,2.7722311,.8401413,.35291868,25.464331,23.955532
6,15,2005,606082,122838,86044,36794,92674,1538551,1631225,119570677760,26798495744,13.314771,11.362614,10.51309,2.8016806,.84952354,.36084512,25.507174,24.011612
6,15,2006,595424,123947,87683,36264,87930,1508091,1596021,123458707456,26817153024,13.297029,11.381483,10.498581,2.7984486,.88290215,.38975811,25.539173,24.012308
6,15,2007,620840,126376,88619,37757,83494,1565997,1649491,128607125504,29871130624,13.338829,11.392101,10.538926,2.7999029,.85317516,.36395392,25.580029,24.120159
6,15,2008,621310,127610,90174,37436,70934,1508967,1579901,,,13.339585,11.409496,10.530388,2.8091974,.87910843,.38641581,,
6,15,2009,585036,131478,91873,39605,67273,1271598,1338871,,,13.279428,11.428163,10.586711,2.6927176,.84145164,.35402045,,
9,15,1995,56880,13803,3159,10644,6085,691215,697300,4886391808,7011628032,10.948699,8.0580111,9.2727518,1.6759472,-1.2147408,.73779756,22.309719,22.670835
9,15,1996,59899,14973,3774,11199,6143,724892,731035,5697256960,7377228800,11.000415,8.2358904,9.3235798,1.6768351,-1.0876894,.59153414,22.463251,22.721664
9,15,1997,59956,15103,3810,11293,9619,703826,713445,5744722432,7439150080,11.001367,8.2453842,9.3319387,1.6694279,-1.0865545,.59030038,22.471548,22.730022
9,15,1998,60264,14892,3794,11098,10232,670271,680503,5723226624,7310695936,11.00649,8.2411766,9.3145199,1.6919699,-1.0733433,.57603288,22.467798,22.712605
9,15,1999,60092,15216,3914,11302,20487,636261,656748,5881444352,7445079040,11.003632,8.272315,9.3327351,1.6708965,-1.06042,.56224531,22.495068,22.73082
9,15,2000,68014,15323,3858,11465,17206,695387,712593,5807609344,7552453632,11.127469,8.2579041,9.3470545,1.7804146,-1.0891504,.59312433,22.482435,22.745138
9,15,2001,68780,15443,3906,11537,17169,708484,725653,5873131520,7688298496,11.138668,8.2702694,9.3533144,1.7853537,-1.083045,.58649325,22.493654,22.762966
9,15,2002,70393,16310,4911,11399,17008,685291,702299,7734297600,8155082240,11.161849,8.4992332,9.3412809,1.8205681,-.84204769,.35452217,22.76893,22.821907
9,15,2003,76659,17343,5920,11423,12648,690765,703413,9106916352,8178173440,11.247123,8.6860914,9.3433838,1.903739,-.65729237,.21601662,22.932301,22.824734
9,15,2004,77919,17434,5936,11498,15705,691870,707575,9138814976,8021280768,11.263425,8.6887903,9.3499289,1.913496,-.66113853,.21855208,22.935797,22.805365
9,15,2005,76192,17412,5956,11456,12019,674592,686611,9479959552,8343848448,11.241012,8.6921539,9.3462687,1.894743,-.65411472,.21393304,22.972446,22.84479
9,15,2006,77884,17508,5980,11528,12674,668859,681533,9658042368,8524932096,11.262976,8.6961756,9.3525343,1.9104414,-.65635872,.21540338,22.991056,22.866261
9,15,2007,81412,17562,6054,11508,15060,713986,729046,10780481536,9104456704,11.307278,8.7084742,9.3507977,1.95648,-.64232349,.20628974,23.101004,22.93203
9,15,2008,77085,17739,6156,11583,18422,670094,688516,,,11.252664,8.7251825,9.3572941,1.8953695,-.63211155,.19978251,,
9,15,2009,75990,18326,6672,11654,21844,628397,650241,,,11.238357,8.8056746,9.3634043,1.8749523,-.55772972,.15553123,,
10,15,1995,498929,116226,32865,83361,111597,3736068,3847665,52266364928,54913220608,13.120219,10.400164,11.330935,1.7892838,-.93077183,.43316808,24.679619,24.729019
10,15,1996,516331,114942,33442,81500,122261,3794442,3916703,52904718336,53687308288,13.154503,10.417568,11.308358,1.8461447,-.89078999,.3967534,24.691759,24.706442
